title,artist,objectType,place,date,mediaURLs,thumbnail
A. Laurason,"{""Artist"": ""Jean Francois De Vallee, active 1794-1828"", ""Sitter"": ""A. Laurason""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1],"https://ids.si.edu/ids/iiif/SAAM-1958.5.4_1/full/250,/0/default.jpg"
Alexander Hamilton,"{""Artist"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Copy after"": ""Giuseppe Ceracchi, 4 Jul 1751 - 31 Jan 1801"", ""Sitter"": ""Alexander Hamilton, 11 Jan 1757 - 11 Jul 1804""}","{""Type"": ""Painting""}",,"{""Date"": ""1806""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_216Hamilton_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_79_216Hamilton_d1/full/250,/0/default.jpg"
Alexander Rose,"{""Artist"": ""Pierre Henri, born Paris, France ca. 1760-died NY 1822"", ""Sitter"": ""Alexander Rose""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1788""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1],"https://ids.si.edu/ids/iiif/SAAM-1946.11.6_1/full/250,/0/default.jpg"
Andre Joseph Villard,"{""Artist"": ""David Boudon, Swiss, born Geneva, Switzerland 1748-died 1816; last known residence Chillicothe"", ""Sitter"": ""Andre Joseph Villard""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810-1812""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1961.9.1_1],"https://ids.si.edu/ids/iiif/SAAM-1961.9.1_1/full/250,/0/default.jpg"
Ann Elliott Morris,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Ann Elliott Morris, 1763 - 1848""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int],"https://ids.si.edu/ids/iiif/NPG-S_NPG_95_116Morris_int/full/250,/0/default.jpg"
Anne Hume Shippen,"{""Artist"": ""Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843"", ""Sitter"": ""Anne Hume Shippen""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1796""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1],"https://ids.si.edu/ids/iiif/SAAM-1999.87.1_1/full/250,/0/default.jpg"
Apollo and the Seasons (Classical Landscape),"{""Attributed to"": ""Richard Wilson, Welsh, born Penegoes, Wales 1714-died Llanberis, Wales 1782""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1770-1779""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.68_1],"https://ids.si.edu/ids/iiif/SAAM-1956.11.68_1/full/250,/0/default.jpg"
"Archibald Bulloch, Governor of Georgia","{""Artist"": ""Unidentified"", ""Sitter"": ""Archibald Bulloch""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1],"https://ids.si.edu/ids/iiif/SAAM-1975.77.2_1/full/250,/0/default.jpg"
Arthur St. Claire,"{""Attribution"": ""Jean Pierre Henri Elouis, 1755 - c. 1843"", ""Sitter"": ""Arthur St. Clair, 23 Mar 1737 - 31 Aug 1818""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1795""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_83_31StClaire-000001/full/250,/0/default.jpg"
Augustus Fricke,"{""Artist"": ""Jean Pierre Henri Elouis, French, born Caen, France 1755-died Caen, France 1840"", ""Sitter"": ""Augustus Fricke""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1],"https://ids.si.edu/ids/iiif/SAAM-1950.7.10_1/full/250,/0/default.jpg"
