title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
A. Laurason,"Jean Francois De Vallee, active 1794-1828",A. Laurason,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1958.5.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1]
Alexander Hamilton,"John Trumbull, 6 Jun 1756 - 10 Nov 1843","Alexander Hamilton, 11 Jan 1757 - 11 Jul 1804",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1806""}","https://ids.si.edu/ids/iiif/NPG-NPG_79_216Hamilton_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_216Hamilton_d1]
Alexander Rose,"Pierre Henri, born Paris, France ca. 1760-died NY 1822",Alexander Rose,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1788""}","https://ids.si.edu/ids/iiif/SAAM-1946.11.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1]
Andre Joseph Villard,"David Boudon, Swiss, born Geneva, Switzerland 1748-died 1816; last known residence Chillicothe",Andre Joseph Villard,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810-1812""}","https://ids.si.edu/ids/iiif/SAAM-1961.9.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1961.9.1_1]
Ann Elliott Morris,Unidentified Artist,"Ann Elliott Morris, 1763 - 1848",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_95_116Morris_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int]
Anne Hume Shippen,"Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843",Anne Hume Shippen,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1796""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1]
"Archibald Bulloch, Governor of Georgia",Unidentified,Archibald Bulloch,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1975.77.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1]
Arthur St. Claire,,"Arthur St. Clair, 23 Mar 1737 - 31 Aug 1818",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1795""}","https://ids.si.edu/ids/iiif/NPG-NPG_83_31StClaire-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001]
Augustus Fricke,"Jean Pierre Henri Elouis, French, born Caen, France 1755-died Caen, France 1840",Augustus Fricke,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1950.7.10_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1]
Benjamin Franklin,"Joseph Siffred Duplessis, 22 Sep 1725 - 1 Apr 1802","Benjamin Franklin, 17 Jan 1706 - 17 Apr 1790",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""France\\\u00cele-de-France\\Ville de Paris, D\u00e9partment de\\Paris""}","{""Date"": ""c. 1785""}","https://ids.si.edu/ids/iiif/NPG-NPG_87_43/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43]
"Benjamin Harrison, Jr.","Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","Benjamin Harrison, Jr., 1750? - 1799",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1783""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_65_109Harrison-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004]
"Benjamin Hurd, Jr.","William M. S. Doyle, born Boston, MA 1769-died Boston, MA 1828",Jr. Benjamin Hurd,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1804-1818""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.9_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.9_1]
Benjamin Latrobe,"Charles Frederick Von Breda, 16 Aug 1759 - 1 Dec 1818","Benjamin Henry Latrobe, 1 May 1764 - 3 Sep 1820",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1790""}","https://ids.si.edu/ids/iiif/NPG-NPG_2011_64Latrobe_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int]
Benjamin West,,"Benjamin West, 10 Oct 1738 - 11 Mar 1820",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1770""}","https://ids.si.edu/ids/iiif/NPG-NPG_80_136West-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_136West-000004]
Betsey Colt Foot,"Ezra Ames, 1768 - 1836","Betsey Colt Foot, 1774 - 1847",female,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\New York\\Albany\\Albany""}","{""Date"": ""1815""}","https://ids.si.edu/ids/iiif/NPG-NPG_2016_132/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_132]
Brother-in-law of Mrs. Alexander Rose,"Archibald Robertson, born Moneymusk, Scotland-died New York City 1835",Brother-in-Law of Mrs. Alex. Rose,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1933.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1]
